data,praca,classe,web,ifood,call,android,iphone,total,precipitac,tempmax,tempmin,tempmed,umidade,insolacao,diasemana,diasem,mes,desserts,pizzas,beverage, cbmaker ,combos,sfiha, kit1 , kit2 ,snack,pastas,dishes,promotion,savory, salads ,range
01/01/2018,SAO PAULO,,0,0,0,0,0,55797,26,29.2,19.3,24.36,72.75,10.1,MON,1,3,2394,541,1782, -   ,733,37479, 10 , -   ,1388,494,189,0,10765, 22 ,Range-15
01/02/2018,SAO PAULO,,0,0,0,0,0,44952,0,27.3,18.3,21.88,71,9.5,TUR,1,1,1956,182,1451, -   ,1209,29415, 17 , 1 ,950,377,401,0,8956, 37 ,Range-12
01/03/2018,SAO PAULO,,0,0,0,0,0,45672,0,30.6,20.9,24.7,80.25,6.9,TUR,1,2,2481,221,1597, -   ,1084,27840, 10 , 1 ,1018,435,472,58,10407, 48 ,Range-16
01/04/2018,SAO PAULO,,0,0,0,0,0,52779,8,28.5,19.3,24.02,73.25,4.6,SUN,2,2,2779,1627,2041, -   ,2391,22977, 34 , 11 ,1094,612,652,8552,9975, 34 ,Range-18
01/05/2018,SAO PAULO,,0,0,0,0,0,89932,0,28,18.1,21.98,72.5,6.6,TUE,1,2,5349,3017,3195, 70 ,3517,53235, 60 , 13 ,2227,858,838,0,17508, 45 ,Range-39
01/06/2018,SAO PAULO,,0,0,0,0,0,50955,0,25.1,15.2,19.86,49.25,8.5,FRI,3,3,4080,395,2065, 31 ,6067,24399, 37 , 5 ,1287,564,559,0,11435, 31 ,Range-29
01/07/2018,SAO PAULO,,0,0,0,0,0,49023,0,27.4,14.9,20.54,61.5,7.9,SUN,2,1,4164,346,2107, 52 ,5819,23736, 37 , 6 ,1293,834,792,0,9797, 40 ,Range-29
01/08/2018,SAO PAULO,,0,0,0,0,0,41631,0,14.5,12.5,13.36,86.75,0,WED,1,2,2793,281,1414, 15 ,1985,24700, 16 , -   ,690,390,297,0,9014, 36 ,Range-18
01/09/2018,SAO PAULO,,0,0,0,0,0,64201,0,31.8,17,22.18,58,0,SAT,3,2,4377,369,2473, 6 ,7139,34978, 89 , 7 ,1280,498,615,0,12326, 44 ,Range-31
01/10/2018,SAO PAULO,,0,0,0,0,0,32663,35.5,25.2,18.9,21.44,86,0,MON,1,2,2015,137,1303, 2 ,1893,18386, 23 , 1 ,674,291,320,0,7601, 17 ,Range-12
